Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	
1591	3#3	0.03948966786265373#0.03948966786265373	0.7454563792926944#0.7454563792926944	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#741	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	104.json	
1706	3#3#3	0.6925826668739319#0.6925826668739319#0.6925826668739319	0.8361411953167703#0.8361411953167703#0.8361411953167703	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9640.json	
782	3	0.850714921951294	0.8640440209689771	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	761.json	
2474	3#3#3#3#3#3#3#3#3#3#3#3#3#3#3#3	0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018#0.5020534992218018	0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285#0.8069605145083285	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#7#14#14#28#75#75#75#75#75#75#93#93#93#212#1624	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#7#0#0#0#1#39#1#5#0#50#74#0#34#0#0	0#1#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#0#0#1#1#0#0	2260.json	
1620	23#16#17#16#16#16#14	1.3433326967060566E-4#8.281153859570622E-4#2.3684746702201664E-4#8.281153859570622E-4#7.954242173582315E-4#7.954242173582315E-4#7.926012622192502E-4	5.869837834675963E-10#6.329992070412015E-7#1.5849149738823452E-7#6.329992070412015E-7#9.790054485052748E-7#9.790054485052748E-7#1.879536705158871E-6	3#1#1#1#1#1#1	2#1#1#1#1#1#1	5#2#2#2#2#2#2	4#3#3#3#3#3#3	11.0#7.86#8.26#7.86#7.86#7.86#5.94	1#1#1#1#1#1#1	19#13#14#13#13#13#12	166.0#121.0#130.0#121.0#118.0#118.0#112.0	83.53239440917969#91.51155090332031#90.12873840332031#91.51155090332031#91.61447143554688#91.61447143554688#94.1341552734375	0#0#0#0#0#0#0	1#1#1#1#1#1#1	6#5#5#5#5#5#5	0#299#316#327#558#770#1264	0#0#2#1#1#0#1	0#7#3#3#2#0#3	0#316#64#64#6#0#58	0#295#60#60#6#0#54	0#2#2#1#314#0#6	0#0#0#0#0#0#0	0#0#1#0#0#0#0	0#0#1#0#0#0#0	4953.json	
2216	3#3#3#3#3#3#3	0.19943326711654663#0.19943326711654663#0.38721925020217896#0.38721925020217896#0.38721925020217896#0.38721925020217896#0.38721925020217896	0.4909605919962177#0.4909605919962177#0.4636398925378616#0.4636398925378616#0.4636398925378616#0.4636398925378616#0.4636398925378616	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0	1#1#1#1#1#1#1	23.0#23.0#21.0#21.0#21.0#21.0#21.0	129.2428436279297#129.2428436279297#129.7158966064453#129.7158966064453#129.7158966064453#129.7158966064453#129.7158966064453	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#29#372#1161#1365#1479#1479	0#0#1#0#0#0#0	0#0#2#0#0#0#0	0#0#38#0#0#0#0	0#0#38#0#0#0#0	0#0#4#1#0#2#3	0#0#0#0#0#0#0	0#0#0#1#0#0#0	0#0#0#1#0#0#0	7289.json	
1706	10#10#10	0.04684102535247803#0.04684102535247803#0.04684102535247803	3.987472119366346E-6#3.987472119366346E-6#3.987472119366346E-6	2#2#2	1#1#1	3#3#3	2#2#2	5.6#5.6#5.6	1#1#1	4#4#4	101.0#101.0#101.0	100.54595184326172#100.54595184326172#100.54595184326172	0#0#0	0#0#0	4#4#4	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9801.json	
347	15#13	0.09402300417423248#0.09653893858194351	0.017813210551421276#0.011985816157619933	1#1	1#1	2#2	3#3	7.62#5.29	2#1	5#5	70.0#68.0	95.84558868408203#98.35713195800781	0#0	2#2	2#2	0#54	0#8	0#18	0#73	0#92	0#60	0#0	0#0	0#0	6599.json	
715	3#3	0.8268294930458069#0.3962060213088989	0.762585929127287#0.7216394401318962	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	18.0#18.0	130.99049377441406#130.85629272460938	0#0	1#0	0#0	0#254	0#2	0#4	0#35	0#35	0#18	0#0	0#0	0#0	3678.json	
2340	3#3#3	0.5201929807662964#0.5201929807662964#0.5201929807662964	0.8171186371358448#0.8171186371358448#0.8171186371358448	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344	0#0#0	1#1#1	0#0#0	0#250#1490	0#0#0	0#0#0	0#0#0	0#0#0	0#30#0	0#0#0	0#1#0	0#1#0	2810.json	
1058	3#3#3	0.7965564727783203#0.5476584434509277#0.5476584434509277	0.9096210381336316#0.8571710019027461#0.8571710019027461	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	12.0#14.0#14.0	133.59722900390625#132.4454345703125#132.4454345703125	0#0#0	0#0#0	0#0#0	0#0#207	0#1#0	0#2#0	0#5#0	0#5#0	0#2#0	0#0#0	0#0#0	0#0#0	2294.json	
2425	3#3#3#3#3#3#3#3#3#3#3#3#4#4	0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.16209809482097626#0.2298116683959961#0.2059990018606186#0.2059990018606186#0.0684124305844307#0.0684124305844307	0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8895436960956586#0.8837365348198649#0.8876910848689428#0.8876910848689428#0.6490191892547454#0.6490191892547454	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#9.8#9.8	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#2#2	15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#15.0#24.0#24.0	132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#132.43687438964844#124.57742309570312#124.57742309570312	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#26#26#26#26#44#49#55#321#334#335#1371#1415#1575	0#0#0#0#0#0#0#0#0#2#2#0#2#0	0#0#0#0#0#0#0#0#0#4#4#0#3#0	0#0#0#0#0#0#0#0#0#42#2#0#58#0	0#0#0#0#0#0#0#0#0#42#2#0#53#0	0#1#39#0#50#74#0#1#0#17#1#1#4#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#1#0#1#1#1#1#0	0#0#0#0#0#0#0#1#0#1#1#1#1#0	1843.json	
732	3	0.5578848719596863	0.7806879482858564	0	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	3815.json	
962	7#7#7	0.20642584562301636#0.20642584562301636#0.31127867102622986	0.2600212184432711#0.2600212184432711#0.3060279501973153	1#1#1	1#1#1	2#2#2	2#2#2	6.05#6.05#6.05	1#1#1	4#4#5	38.0#38.0#37.0	112.25244903564453#112.25244903564453#112.46537017822266	0#0#0	1#1#1	1#1#1	0#112#616	0#0#1	0#0#2	0#0#8	0#0#8	0#0#99	0#0#0	0#0#0	0#0#0	3173.json	
2474	5#5#5#5#5#5#5#5#5#5#5#5#5#5	0.010000376962125301#0.015353662893176079#0.015353662893176079#0.015353662893176079#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.016088547185063362#0.0029239929281175137	0.28274031882032896#0.36372634616337346#0.36372634616337346#0.36372634616337346#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.3138072659565049#0.13047779979913643	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76#8.76	0#0#0#0#0#0#0#0#0#0#0#0#0#0	2#1#1#1#1#1#1#1#1#1#1#1#1#3	34.0#32.0#32.0#32.0#33.0#33.0#33.0#33.0#33.0#33.0#33.0#33.0#33.0#39.0	118.58592224121094#118.90116882324219#118.90116882324219#118.90116882324219#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#118.66690826416016#117.66175079345703	0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#16#75#75#75#75#75#93#93#93#1418#1624#1679#1755	0#1#0#0#1#0#0#0#0#0#0#0#1#1	0#2#0#0#2#0#0#0#0#0#0#0#2#2	0#86#0#0#6#0#0#0#0#0#0#0#88#24	0#90#0#0#6#0#0#0#0#0#0#0#91#24	0#10#1#39#56#0#50#74#0#34#90#0#4#4	0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#1#0#0#1#0#0#0#0#0#1#0#1#0	0#1#0#0#1#0#0#0#1#1#1#0#1#0	5277.json	
1446	3#3	0.850714921951294#0.850714921951294	0.8640440209689771#0.8640440209689771	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#595	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	474.json	
1072	3#3#3#3	0.35542285442352295#0.35542285442352295#0.35542285442352295#0.35542285442352295	0.854829511610192#0.854829511610192#0.854829511610192#0.854829511610192	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.77#3.77#3.77#3.77	0#0#0#0	0#0#0#0	17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0	1#1#1#1	0#0#0#0	0#16#17#221	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#90#3#0	0#0#0#0	0#1#1#0	0#1#1#0	5352.json	
1901	24#24#24#12#12#12#12	0.02652222476899624#0.019317038357257843#0.00890885666012764#0.13894584774971008#0.13894584774971008#0.13894584774971008#0.06312727183103561	1.633135432602415E-5#1.0814147696731956E-5#4.911277124567256E-6#0.11073717146333058#0.11073717146333058#0.11073717146333058#0.04426781582842569	2#2#2#0#0#0#0	2#2#2#0#0#0#0	4#4#4#0#0#0#0	4#4#4#2#2#2#2	7.63#7.63#7.63#8.33#8.33#8.33#8.33	2#2#2#1#1#1#1	13#13#13#5#5#5#4	126.0#126.0#126.0#55.0#55.0#55.0#59.0	84.4216537475586#84.4216537475586#84.4216537475586#101.22714233398438#101.22714233398438#101.22714233398438#100.71224212646484	0#0#0#0#0#0#0	0#0#0#0#0#0#2	6#6#6#2#2#2#2	0#0#0#524#845#1050#1080	0#2#1#2#0#0#3	0#5#4#16#0#0#6	0#3#12#416#0#0#101	0#2#10#471#0#0#101	0#15#14#6#90#0#26	0#0#0#0#0#0#0	0#0#0#1#1#0#0	0#0#0#1#1#0#0	5916.json	
1451	3#3	0.23534293472766876#0.23534293472766876	0.46382324167036987#0.46382324167036987	0#0	0#0	0#0	1#1	3.77#3.77	0#0	1#1	24.0#24.0	129.12539672851562#129.12539672851562	0#0	1#1	0#0	0#600	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	6394.json	
2192	6#4#5#6#6#6#6#6#6#7#9#10	0.5722511410713196#0.21386146545410156#0.1792750358581543#0.02615809068083763#0.05819609388709068#0.02615809068083763#0.05819609388709068#0.05819609388709068#0.05819609388709068#0.010126426815986633#9.272417519241571E-4#2.2541546786669642E-4	0.07982567460895547#0.3785624233268665#0.34922608362140956#0.12760046476382075#0.15704256638605577#0.12760046476382075#0.15704256638605577#0.15704256638605577#0.15704256638605577#0.04389632931822018#0.0031611603857671046#8.026571533477259E-4	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	6.93#4.0#3.92#3.77#3.77#3.77#3.77#3.77#3.77#3.61#3.33#3.2	0#0#0#0#0#0#0#0#0#0#0#0	4#2#3#4#4#4#4#4#4#5#7#8	48.0#25.0#29.0#39.0#37.0#39.0#37.0#37.0#37.0#47.0#66.0#76.0	113.62841796875#124.1488037109375#119.66572570800781#115.08172607421875#115.19261169433594#115.08172607421875#115.19261169433594#115.19261169433594#115.19261169433594#111.24065399169922#105.16951751708984#102.6769790649414	0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0#0#0	0#0#101#292#1138#1138#1146#1319#1341#1649#1935#2042	0#1#1#1#1#1#1#0#0#1#2#1	0#7#1#1#2#2#2#0#0#1#2#1	0#260#38#71#41#41#41#0#0#82#122#79	0#154#40#73#41#41#41#0#0#84#126#81	0#2#3#7#1#1#1#62#0#3#1#1	0#0#0#1#0#0#0#0#0#0#0#0	0#0#0#1#0#0#0#1#0#1#0#0	0#0#0#1#0#0#0#1#0#1#0#0	8517.json	
2077	3#3	0.6405836939811707#0.6405836939811707	0.7903437280678575#0.7903437280678575	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#1227	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	922.json	
578	6#8	0.03845277428627014#0.07417807728052139	0.1958796245247587#0.1358403146414552	0#1	0#1	0#2	1#3	10.07#7.94	0#2	4#2	38.0#44.0	115.05393981933594#108.83756256103516	0#0	1#1	0#2	0#365	0#1	0#2	0#166	0#178	0#739	0#0	0#0	0#0	3848.json	
1899	5#9#10#9#9#4	0.06486234813928604#0.057534798979759216#0.024156324565410614#0.06616832315921783#0.06616832315921783#0.014788788743317127	0.06299808375525588#0.01211943525226505#5.77151525504027E-4#0.007613328780369676#0.007613328780369676#0.09443182161636605	0#2#2#2#2#0	0#2#2#2#2#0	0#4#4#4#4#0	1#3#3#3#3#1	3.92#7.54#8.2#7.54#7.54#9.8	0#2#2#2#2#0	1#3#4#4#4#3	40.0#58.0#76.0#59.0#59.0#35.0	117.46711730957031#105.27943420410156#102.029052734375#105.14269256591797#105.14269256591797#121.90575408935547	0#0#0#0#0#0	1#1#1#1#1#1	1#0#1#0#0#0	0#390#542#577#1048#1209	0#7#2#1#0#2	0#10#3#4#0#9	0#128#83#79#0#141	0#151#103#99#0#171	0#6#4#4#0#10	0#0#0#0#0#0	0#1#0#0#0#0	0#1#0#0#0#0	4535.json	
1062	7#7	0.4171994924545288#0.4171994924545288	0.23260489255177255#0.23260489255177255	1#1	1#1	2#2	2#2	5.11#5.11	1#1	2#2	40.0#40.0	112.13882446289062#112.13882446289062	0#0	1#1	1#1	0#211	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	6177.json	
348	3#3#3	0.87654048204422#0.8609442114830017#0.8609442114830017	0.8621600689653097#0.9129518825520463#0.9129518825520463	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	14.0#13.0#13.0	132.4454345703125#132.9956512451172#132.9956512451172	0#0#0	0#0#0	0#0#0	0#134#326	0#1#0	0#2#0	0#7#0	0#7#0	0#739#417	0#0#0	0#0#0	0#0#0	13200.json	
92	3	0.653750479221344	0.7876418680475908	0	0	0	1	3.77	0	0	17.0	131.28770446777344	0	1	0	0	0	0	0	0	0	0	0	0	12836.json	
1122	3#3	0.6405836939811707#0.6405836939811707	0.7903437280678575#0.7903437280678575	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	17.0#17.0	131.28770446777344#131.28770446777344	0#0	1#1	0#0	0#271	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	274.json	
1706	6#6#6	0.37154701352119446#0.37154701352119446#0.37154701352119446	0.5667371696871677#0.5667371696871677#0.5667371696871677	1#1#1	1#1#1	2#2#2	2#2#2	6.53#6.53#6.53	1#1#1	1#1#1	31.0#31.0#31.0	116.231689453125#116.231689453125#116.231689453125	0#0#0	0#0#0	0#0#0	0#3#856	0#0#0	0#0#0	0#0#0	0#0#0	0#6#0	0#0#0	0#1#0	0#1#0	9750.json	
12	13	0.06721210479736328	0.032609254698138405	1	1	2	3	6.74	2	5	64.0	98.7625503540039	0	3	1	0	0	0	0	0	0	0	0	0	10899.json	
870	3#3	0.4051317274570465#0.4051317274570465	0.8501551684845163#0.8501551684845163	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#20	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	3599.json	
1069	11#11	0.016040055081248283#0.016040055081248283	0.0038020690090395035#0.0038020690090395035	0#0	0#0	0#0	2#2	8.61#8.61	1#1	6#6	69.0#69.0	101.17491912841797#101.17491912841797	0#0	2#2	2#2	0#218	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	260.json	
743	4#3	0.018728328868746758#0.0036763481330126524	0.09441067929142524#0.08169768527074146	0#0	0#0	0#0	1#1	6.63#3.77	0#0	1#1	36.0#35.0	121.69290161132812#126.56620788574219	0#0	2#2	0#0	0#529	0#1	0#2	0#12	0#7	0#739	0#0	0#0	0#0	7920.json	
1010	5#5#5	0.47645121812820435#0.47645121812820435#0.45601052045822144	0.750007593906291#0.750007593906291#0.8193001624987042	1#1#1	1#1#1	2#2#2	2#2#2	5.99#5.99#5.99	1#1#1	0#0#0	25.0#25.0#24.0	120.52021789550781#120.52021789550781#120.85496520996094	0#0#0	1#1#1	0#0#0	0#160#797	0#0#1	0#0#2	0#0#7	0#0#7	0#0#739	0#0#0	0#0#0	0#0#0	6974.json	
2091	6#6#6#6#6	0.006742450874298811#0.006742450874298811#0.006742450874298811#0.006742450874298811#0.006742450874298811	0.011045368980807319#0.011045368980807319#0.011045368980807319#0.011045368980807319#0.011045368980807319	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	1#1#1#1#1	3.77#3.77#3.77#3.77#3.77	0#0#0#0#0	4#4#4#4#4	54.0#54.0#54.0#54.0#54.0	112.72944641113281#112.72944641113281#112.72944641113281#112.72944641113281#112.72944641113281	0#0#0#0#0	2#2#2#2#2	1#1#1#1#1	0#1#1037#1219#1241	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#0#0#0#0	0#1#1#62#0	0#0#0#0#0	0#1#1#1#0	0#1#1#1#0	5181.json	
498	3	0.7281937599182129	0.8484058542359272	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3511.json	
888	25#25#25#25#20	0.0021616837475448847#0.0021616837475448847#0.0021616837475448847#0.0021616837475448847#0.0012412782525643706	7.716951358088362E-10#7.716951358088362E-10#7.716951358088362E-10#7.716951358088362E-10#1.3821221326754085E-10	3#3#3#3#3	2#2#2#2#2	5#5#5#5#5	5#5#5#5#5	9.73#9.73#9.73#9.73#6.4	2#2#2#2#2	10#10#10#10#10	163.0#163.0#163.0#163.0#162.0	81.93940734863281#81.93940734863281#81.93940734863281#81.93940734863281#85.60686492919922	0#0#0#0#0	2#2#2#2#2	3#3#3#3#3	0#16#38#67#675	0#0#0#0#1	0#0#0#0#2	0#0#0#0#36	0#0#0#0#7	0#62#0#46#739	0#0#0#0#0	0#1#0#0#0	0#1#0#0#0	3985.json	
1464	10#10#10#10#10#10	0.03750094398856163#0.03750094398856163#0.03750094398856163#0.030034808441996574#0.03750094398856163#0.030034808441996574	0.43446271044090434#0.43446271044090434#0.43446271044090434#0.4065030359577226#0.43446271044090434#0.4065030359577226	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	2#2#2#2#2#2	10.85#10.85#10.85#10.85#10.85#10.85	1#1#1#1#1#1	2#2#2#1#2#1	40.0#40.0#40.0#41.0#40.0#41.0	106.07111358642578#106.07111358642578#106.07111358642578#105.94271087646484#106.07111358642578#105.94271087646484	0#0#0#0#0#0	0#0#0#0#0#0	0#0#0#0#0#0	0#360#613#774#774#789	0#0#0#10#10#10	0#0#0#20#20#20	0#0#0#18#18#18	0#0#0#8#8#8	0#1#0#4#4#7	0#0#0#0#0#0	0#1#0#0#0#0	0#1#0#0#0#0	2930.json	
1664	3#3	0.5361738801002502#0.5361738801002502	0.8660183400187202#0.8660183400187202	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	16.0#16.0	131.75106811523438#131.75106811523438	0#0	1#1	0#0	0#814	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	11064.json	
743	4#5	0.16501550376415253#0.07414291799068451	0.553609844161549#0.39036685626264267	0#0	0#0	0#0	1#1	9.8#10.85	0#0	3#5	26.0#33.0	123.8484878540039#118.90401458740234	0#0	1#1	0#0	0#0	0#2	0#3	0#49	0#45	0#29	0#0	0#1	0#1	8103.json	
2081	3#3#3#3	0.8346750736236572#0.8376314640045166#0.8522243499755859#0.8522243499755859	0.7514558623105291#0.7346103282882819#0.7735520125068011#0.7735520125068011	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.77#3.77#3.77#3.77	0#0#0#0	1#1#1#1	16.0#17.0#16.0#16.0	131.60296630859375#131.1535186767578#131.60296630859375#131.60296630859375	0#0#0#0	0#0#0#0	0#0#0#0	0#1#5#1231	0#1#3#0	0#2#6#0	0#7#14#0	0#7#11#0	0#27#24#0	0#0#0#0	0#0#0#0	0#0#0#0	7453.json	
2474	8#8#8#8#8#6#8#8#8#4#7#7#8#8#8	0.04996601119637489#0.04996601119637489#0.04996601119637489#0.04996601119637489#0.04996601119637489#0.03254751116037369#0.04996601119637489#0.04996601119637489#0.04996601119637489#0.18248745799064636#0.054265037178993225#0.12638051807880402#0.013245565816760063#0.013245565816760063#0.03184529393911362	0.03781785756318448#0.03781785756318448#0.03781785756318448#0.03781785756318448#0.03781785756318448#0.017244469549097304#0.03781785756318448#0.03781785756318448#0.03781785756318448#0.08993188209784997#0.016055764908953492#0.022138325520791147#0.0029586272657182618#0.0029586272657182618#0.009599200453268588	0#0#0#0#0#0#0#0#0#0#2#2#3#3#3	0#0#0#0#0#0#0#0#0#0#1#1#2#2#2	0#0#0#0#0#0#0#0#0#0#3#3#5#5#5	1#1#1#1#1#1#1#1#1#1#2#2#2#2#2	13.11#13.11#13.11#13.11#13.11#8.0#13.11#13.11#13.11#4.0#6.05#6.05#7.42#7.42#7.42	0#0#0#0#0#0#0#0#0#0#1#1#1#1#1	4#4#4#4#4#4#4#4#4#3#4#4#7#7#6	49.0#49.0#49.0#49.0#49.0#49.0#49.0#49.0#49.0#37.0#54.0#51.0#65.0#65.0#59.0	108.52436065673828#108.52436065673828#108.52436065673828#108.52436065673828#108.52436065673828#113.18480682373047#108.52436065673828#108.52436065673828#108.52436065673828#121.55042266845703#110.10877227783203#110.40599822998047#106.82501220703125#106.82501220703125#107.43061065673828	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1#1#1#1#1#1	0#75#75#75#75#78#93#93#93#267#404#408#1157#1624#1765	0#0#0#0#0#3#0#0#0#1#5#1#5#0#1	0#0#0#0#0#8#0#0#0#6#7#2#9#0#2	0#0#0#0#0#12#12#0#0#182#87#13#165#0#31	0#0#0#0#0#0#0#0#0#169#99#13#167#0#31	0#1#39#0#50#2#74#0#34#6#2#2#14#0#71	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#1#0#0#0#1#1#0#0#0#1	0#0#0#0#0#1#0#1#1#1#1#0#0#0#1	2527.json	
10	3#3	0.17886517941951752#0.17886517941951752	0.6942246055292846#0.6942246055292846	0#0	0#0	0#0	1#1	3.77#3.77	0#0	1#1	20.0#20.0	130.07347106933594#130.07347106933594	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	11138.json	
606	3	0.7896509170532227	0.8332327709730654	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3466.json	
122	3	0.4743957817554474	0.7941000190357962	0	0	0	1	3.77	0	0	17.0	131.03103637695312	0	0	0	0	0	0	0	0	0	0	0	0	794.json	
