Age	SLOCStandard	Readability	SimpleReadability	NVAR	NCOMP	Mcclure	McCabe	IndentSTD	MaximumBlockDepth	totalFanOut	Length	MaintainabilityIndex	SATD	Parameters	LocalVariables	ChangeAtMethodAge	NewAdditions	DiffSizes	EditDistances	CriticalEditDistances	TangledWMoveandFileRename	Buggycommiit	PotentiallyBuggycommit	RiskyCommit	file	
19	3	0.10572092980146408	0.8721509347251017	0	0	0	1	3.77	0	0	14.0	132.4454345703125	0	0	0	0	0	0	0	0	0	0	0	0	3825.json	
2194	8#8#8#8	0.23847301304340363#0.07152082771062851#0.07152082771062851#0.07152082771062851	0.23295443550042794#0.16881664437602426#0.16881664437602426#0.16881664437602426	3#3#3#3	1#1#1#1	4#4#4#4	3#3#3#3	7.75#7.75#7.75#7.75	2#2#2#2	2#2#2#2	43.0#43.0#43.0#43.0	109.01699829101562#109.01699829101562#109.01699829101562#109.01699829101562	0#0#0#0	1#1#1#1	1#1#1#1	0#0#622#1343	0#1#0#0	0#3#0#0	0#4#0#0	0#3#0#0	0#25#16#0	0#0#0#0	0#0#1#0	0#0#1#0	8981.json	
2382	5#5#5#5#5#5#5	0.3747240900993347#0.3747240900993347#0.3747240900993347#0.3747240900993347#0.3747240900993347#0.3747240900993347#0.3747240900993347	0.49382449176529164#0.49382449176529164#0.49382449176529164#0.49382449176529164#0.49382449176529164#0.49382449176529164#0.49382449176529164	1#1#1#1#1#1#1	1#1#1#1#1#1#1	2#2#2#2#2#2#2	2#2#2#2#2#2#2	5.99#5.99#5.99#5.99#5.99#5.99#5.99	1#1#1#1#1#1#1	0#0#0#0#0#0#0	28.0#28.0#28.0#28.0#28.0#28.0#28.0	119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531#119.52839660644531	0#0#0#0#0#0#0	1#1#1#1#1#1#1	0#0#0#0#0#0#0	0#1#1#1#1326#1328#1532	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#0#0#0#0#0#0	0#74#0#34#90#1#0	0#0#0#0#0#0#0	0#0#0#0#1#1#0	0#0#1#1#1#1#0	1873.json	
2077	3#3	0.8509837985038757#0.8509837985038757	0.8767772682134535#0.8767772682134535	0#0	0#0	0#0	1#1	3.77#3.77	0#0	0#0	14.0#14.0	132.4454345703125#132.4454345703125	0#0	0#0	0#0	0#1227	0#0	0#0	0#0	0#0	0#0	0#0	0#0	0#0	917.json	
2474	3#3#3#3#3#3#3#3#3#3	0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695#0.39073991775512695	0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288#0.8550139240649288	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77#3.77	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0#17.0	131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344#131.28770446777344	0#0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1#1	0#0#0#0#0#0#0#0#0#0	0#75#75#75#75#93#93#93#1418#1624	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#0#0	0#1#39#0#50#74#0#34#90#0	0#0#0#0#0#0#0#0#0#0	0#0#0#0#0#0#0#0#1#0	0#0#0#0#0#0#1#1#1#0	5632.json	
2265	14#15#12#12#12#12#12#13#13	0.008381965570151806#0.038726143538951874#0.18777437508106232#0.1617158204317093#0.1460193246603012#0.1460193246603012#0.13865621387958527#0.13044564425945282#0.13044564425945282	4.626781668983307E-5#1.4111311214791547E-4#0.004714003261438156#0.004750024666714994#0.004794928688067749#0.004794928688067749#0.004872318475914318#0.003430379203136413#0.003430379203136413	1#3#1#1#1#1#1#1#1	1#2#1#1#1#1#1#1#1	2#5#2#2#2#2#2#2#2	2#3#2#2#2#2#2#2#2	7.77#6.83#7.39#7.39#7.39#7.39#7.39#7.12#7.12	1#1#1#1#1#1#1#1#1	8#9#5#5#5#5#5#5#5	104.0#101.0#78.0#78.0#78.0#78.0#78.0#81.0#81.0	94.77945709228516#93.64645385742188#99.00889587402344#99.00889587402344#99.00889587402344#99.00889587402344#99.00889587402344#97.4431381225586#97.4431381225586	0#0#0#0#0#0#0#0#0	1#1#1#1#1#1#1#1#1	4#4#4#4#4#4#4#4#4	0#1#45#52#52#57#76#190#1414	0#3#0#2#2#0#1#2#0	0#5#3#4#4#0#2#3#0	0#289#159#15#10#0#16#34#0	0#283#165#15#10#0#16#35#0	0#7#6#8#10#71#4#23#0	0#0#0#0#0#0#0#0#0	0#1#0#1#0#1#1#1#0	0#1#0#1#0#1#1#1#0	8955.json	
164	8#8	0.001062689465470612#3.579212352633476E-4	0.0019335516793894964#3.50298023563189E-4	0#0	0#0	0#0	1#1	7.75#7.75	0#0	3#4	68.0#76.0	106.77252960205078#106.06140899658203	0#0	2#3	1#1	0#0	0#2	0#4	0#60	0#60	0#42	0#0	0#0	0#0	3336.json	
1404	3#3#3#3	0.034771714359521866#0.034771714359521866#0.034771714359521866#0.034771714359521866	0.8259474261544417#0.8259474261544417#0.8259474261544417#0.8259474261544417	0#0#0#0	0#0#0#0	0#0#0#0	1#1#1#1	3.77#3.77#3.77#3.77	0#0#0#0	0#0#0#0	14.0#14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125#132.4454345703125	0#0#0#0	0#0#0#0	0#0#0#0	0#300#549#554	0#0#0#0	0#0#0#0	0#0#0#0	0#0#0#0	0#0#2#0	0#0#0#0	0#1#0#0	0#1#0#0	3287.json	
22	12#13	0.0#0.0	1.8953394778280954E-5#1.2473292426466414E-5	0#0	0#0	0#0	3#3	13.52#13.0	2#2	16#17	102.0#106.0	97.42218017578125#95.88720703125	0#0	0#0	2#2	0#17	0#1	0#1	0#42	0#47	0#10	0#0	0#0	0#0	12884.json	
1373	3#3#3	0.7802167534828186#0.7802167534828186#0.7802167534828186	0.8756486459334156#0.8756486459334156#0.8756486459334156	0#0#0	0#0#0	0#0#0	1#1#1	3.77#3.77#3.77	0#0#0	0#0#0	14.0#14.0#14.0	132.4454345703125#132.4454345703125#132.4454345703125	0#0#0	0#0#0	0#0#0	0#319#523	0#0#0	0#0#0	0#0#0	0#0#0	0#1#0	0#0#0	0#1#0	0#1#0	1833.json	
